SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
@JumboPlusIoT,00:b6:70:59:9f:0c,-74,44,Y,TH,RSN(PSK/AES/AES),744.3113224803366,1189.1528260471923
eduroam,00:b6:70:59:9f:0d,-73,44,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
@JumboPlus5GHz,00:b6:70:59:9f:0e,-74,44,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
.@TRUEWIFI,00:b6:70:5e:a5:a5,-73,11,Y,TH,NONE,744.3113224803366,1189.1528260471923
@JumboPlusIoT,00:7e:95:c5:34:c3,-69,11,Y,TH,RSN(PSK/AES/AES),744.3113224803366,1189.1528260471923
CPE-WiFi,00:3c:10:75:b2:41,-75,11,Y,TH,NONE,744.3113224803366,1189.1528260471923
CPE-Staff,00:3c:10:75:b2:40,-76,11,Y,TH,NONE,744.3113224803366,1189.1528260471923
@TOT_Wi-Fi,00:7e:95:c5:34:c7,-69,11,Y,TH,NONE,744.3113224803366,1189.1528260471923
.@AISSUPERWiFi,00:7e:95:c5:34:c6,-69,11,Y,TH,NONE,744.3113224803366,1189.1528260471923
@TOT_Wi-Fi,00:b6:70:5e:a5:a7,-74,11,Y,TH,NONE,744.3113224803366,1189.1528260471923
.@TRUEWIFI,00:7e:95:c5:34:c5,-69,11,Y,TH,NONE,744.3113224803366,1189.1528260471923
.@AISSUPERWiFi,00:b6:70:5e:a5:a6,-74,11,Y,TH,NONE,744.3113224803366,1189.1528260471923
@TOT_Wi-Fi,00:7e:95:c5:28:67,-72,11,Y,TH,NONE,744.3113224803366,1189.1528260471923
.@AISSUPERWiFi,00:7e:95:c5:28:66,-72,11,Y,TH,NONE,744.3113224803366,1189.1528260471923
.@TRUEWIFI,00:7e:95:c5:28:65,-72,11,Y,TH,NONE,744.3113224803366,1189.1528260471923
@JumboPlusIoT,00:7e:95:c5:28:63,-72,11,Y,TH,RSN(PSK/AES/AES),744.3113224803366,1189.1528260471923
@JumboPlus,00:7e:95:c5:34:c0,-69,11,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
@JumboPlus,00:b6:70:5e:a5:a0,-74,11,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
CPE-WiFi,00:a2:89:03:36:e1,-75,6,Y,TH,NONE,744.3113224803366,1189.1528260471923
@TOT_Wi-Fi,00:b6:70:59:9f:07,-70,6,Y,TH,NONE,744.3113224803366,1189.1528260471923
.@AISSUPERWiFi,00:b6:70:59:9f:06,-69,6,Y,TH,NONE,744.3113224803366,1189.1528260471923
.@TRUEWIFI,00:b6:70:59:9f:05,-70,6,Y,TH,NONE,744.3113224803366,1189.1528260471923
@JumboPlusIoT,00:b6:70:59:9f:03,-70,6,Y,TH,RSN(PSK/AES/AES),744.3113224803366,1189.1528260471923
CPE-Staff,00:a2:89:03:36:e0,-73,6,Y,TH,NONE,744.3113224803366,1189.1528260471923
@JumboPlus,00:b6:70:59:9f:00,-70,6,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
DIRECT-EA-HP,16:cb:19:9a:02:ea,-61,6,Y,--,RSN(PSK/AES/AES),744.3113224803366,1189.1528260471923
ESP-5EAC73,de:4f:22:5e:ac:73,-61,6,N,TH,NONE,744.3113224803366,1189.1528260471923
CPE-WiFi,00:a2:89:03:3a:21,-77,1,Y,TH,NONE,744.3113224803366,1189.1528260471923
CPE-Staff,70:f3:5a:55:a7:c0,-75,1,Y,TH,NONE,744.3113224803366,1189.1528260471923
.@AISSUPERWiFi,00:7e:95:cb:a8:86,-67,1,Y,TH,NONE,744.3113224803366,1189.1528260471923
.@TRUEWIFI,00:7e:95:cb:a8:85,-68,1,Y,TH,NONE,744.3113224803366,1189.1528260471923
@JumboPlusIoT,00:7e:95:cb:a8:83,-67,1,Y,TH,RSN(PSK/AES/AES),744.3113224803366,1189.1528260471923
@JumboPlus,00:7e:95:cb:a8:80,-67,1,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
@TOT_Wi-Fi,00:7e:95:cb:a8:87,-67,1,Y,TH,NONE,744.3113224803366,1189.1528260471923
CPE-WiFi,00:b0:e1:98:f1:a1,-75,1,Y,TH,NONE,744.3113224803366,1189.1528260471923
CPE-Staff,00:b0:e1:98:f1:a0,-74,1,Y,TH,NONE,744.3113224803366,1189.1528260471923
