SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
CPE-Staff,00:3c:10:75:b2:4f,-90,52,Y,TH,NONE,203.45900178253112,163.53208556149733
CPE-WiFi,00:3c:10:75:b2:4e,-89,52,Y,TH,NONE,203.45900178253112,163.53208556149733
AISSMARTLogin,00:7e:95:cb:a8:86,-71,157,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
.@TrueMoveH,00:7e:95:cb:a8:87,-71,157,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
@TOT_Wi-Fi,00:7e:95:cb:a8:88,-71,157,Y,TH,NONE,203.45900178253112,163.53208556149733
@JumboPlusIoT,00:7e:95:cb:a8:8c,-71,157,Y,TH,RSN(PSK/AES/AES),203.45900178253112,163.53208556149733
eduroam,00:7e:95:cb:a8:8d,-71,157,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
@JumboPlus5GHz,00:7e:95:cb:a8:8e,-71,157,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
AISSMARTLogin,00:7e:95:c4:fa:66,-62,149,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
.@TrueMoveH,00:7e:95:c4:fa:67,-62,149,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
@TOT_Wi-Fi,00:7e:95:c4:fa:68,-61,149,Y,TH,NONE,203.45900178253112,163.53208556149733
@JumboPlusIoT,00:7e:95:c4:fa:6c,-62,149,Y,TH,RSN(PSK/AES/AES),203.45900178253112,163.53208556149733
eduroam,00:7e:95:c4:fa:6d,-62,149,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
@JumboPlus5GHz,00:7e:95:c4:fa:6e,-61,149,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
AISSMARTLogin,00:7e:95:c5:3b:06,-69,44,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
.@TrueMoveH,00:7e:95:c5:3b:07,-69,44,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
@TOT_Wi-Fi,00:7e:95:c5:3b:08,-69,44,Y,TH,NONE,203.45900178253112,163.53208556149733
@JumboPlusIoT,00:7e:95:c5:3b:0c,-69,44,Y,TH,RSN(PSK/AES/AES),203.45900178253112,163.53208556149733
eduroam,00:7e:95:c5:3b:0d,-69,44,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
@JumboPlus5GHz,00:7e:95:c5:3b:0e,-68,44,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
@JumboPlus,00:7e:95:c4:fa:60,-62,6,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
CPE-WiFi,00:a2:89:03:3a:21,-80,1,Y,TH,NONE,203.45900178253112,163.53208556149733
ESP-5EAC73,de:4f:22:5e:ac:73,-71,1,N,TH,NONE,203.45900178253112,163.53208556149733
