SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
AISSMARTLogin,00:7e:95:cb:38:86,-66,48,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
.@TrueMoveH,00:7e:95:cb:38:87,-66,48,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
@TOT_Wi-Fi,00:7e:95:cb:38:88,-66,48,Y,TH,NONE,1557.24485560102,787.0993595445648
@JumboPlusIoT,00:7e:95:cb:38:8c,-66,48,Y,TH,RSN(PSK/AES/AES),1557.24485560102,787.0993595445648
eduroam,00:7e:95:cb:38:8d,-66,48,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
@JumboPlus5GHz,00:7e:95:cb:38:8e,-66,48,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
AISSMARTLogin,00:7e:95:c7:f0:a6,-69,44,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
.@TrueMoveH,00:7e:95:c7:f0:a7,-68,44,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
@TOT_Wi-Fi,00:7e:95:c7:f0:a8,-69,44,Y,TH,NONE,1557.24485560102,787.0993595445648
@JumboPlusIoT,00:7e:95:c7:f0:ac,-68,44,Y,TH,RSN(PSK/AES/AES),1557.24485560102,787.0993595445648
eduroam,00:7e:95:c7:f0:ad,-69,44,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
@JumboPlus5GHz,00:7e:95:c7:f0:ae,-68,44,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
CPE-WiFi,00:3c:10:75:b2:4e,-81,40,Y,TH,NONE,1557.24485560102,787.0993595445648
AISSMARTLogin,00:b6:70:59:9f:06,-75,40,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
.@TrueMoveH,00:b6:70:59:9f:07,-75,40,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
@TOT_Wi-Fi,00:b6:70:59:9f:08,-75,40,Y,TH,NONE,1557.24485560102,787.0993595445648
@JumboPlusIoT,00:b6:70:59:9f:0c,-75,40,Y,TH,RSN(PSK/AES/AES),1557.24485560102,787.0993595445648
eduroam,00:b6:70:59:9f:0d,-75,40,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
AISSMARTLogin,00:7e:95:cb:95:a6,-58,40,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
.@TrueMoveH,00:7e:95:cb:95:a7,-58,40,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
@TOT_Wi-Fi,00:7e:95:cb:95:a8,-58,40,Y,TH,NONE,1557.24485560102,787.0993595445648
@JumboPlusIoT,00:7e:95:cb:95:ac,-58,40,Y,TH,RSN(PSK/AES/AES),1557.24485560102,787.0993595445648
eduroam,00:7e:95:cb:95:ad,-58,40,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
@JumboPlus5GHz,00:7e:95:cb:95:ae,-58,40,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
@JumboPlus5GHz,00:b6:70:59:9f:0e,-74,40,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
OASYS-5G,8c:de:f9:be:f1:a5,-70,40,Y,--,"RSN(PSK,SAE/AES/AES)",1557.24485560102,787.0993595445648
AISSMARTLogin,00:7e:95:cb:a8:86,-73,157,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
.@TrueMoveH,00:7e:95:cb:a8:87,-73,157,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
@TOT_Wi-Fi,00:7e:95:cb:a8:88,-73,157,Y,TH,NONE,1557.24485560102,787.0993595445648
@JumboPlusIoT,00:7e:95:cb:a8:8c,-73,157,Y,TH,RSN(PSK/AES/AES),1557.24485560102,787.0993595445648
eduroam,00:7e:95:cb:a8:8d,-73,157,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
@JumboPlus5GHz,00:7e:95:cb:a8:8e,-73,157,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
@JumboPlus5GHz,00:7e:95:c5:46:4e,-77,104,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
eduroam,00:7e:95:c5:46:4d,-77,104,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
@JumboPlusIoT,00:7e:95:c5:46:4c,-77,104,Y,TH,RSN(PSK/AES/AES),1557.24485560102,787.0993595445648
@TOT_Wi-Fi,00:7e:95:c5:46:48,-77,104,Y,TH,NONE,1557.24485560102,787.0993595445648
AISSMARTLogin,00:b6:70:5e:8e:66,-81,112,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
.@TrueMoveH,00:b6:70:5e:8e:67,-80,112,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
@TOT_Wi-Fi,00:b6:70:5e:8e:68,-81,112,Y,TH,NONE,1557.24485560102,787.0993595445648
@JumboPlusIoT,00:b6:70:5e:8e:6c,-81,112,Y,TH,RSN(PSK/AES/AES),1557.24485560102,787.0993595445648
AISSMARTLogin,00:b6:70:59:5c:e6,-67,112,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
.@TrueMoveH,00:b6:70:59:5c:e7,-67,112,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
@TOT_Wi-Fi,00:b6:70:59:5c:e8,-67,112,Y,TH,NONE,1557.24485560102,787.0993595445648
@JumboPlusIoT,00:b6:70:59:5c:ec,-67,112,Y,TH,RSN(PSK/AES/AES),1557.24485560102,787.0993595445648
eduroam,00:b6:70:59:5c:ed,-67,112,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
