SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
s,u,m
SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
@TOT_Wi-Fi,00:7e:95:c9:79:08,-56,44,Y,TH,NONE,133.58377896613183,588.8475935828877
@JumboPlusIoT,00:7e:95:c9:79:0c,-56,44,Y,TH,RSN(PSK/AES/AES),133.58377896613183,588.8475935828877
eduroam,00:7e:95:c9:79:0d,-56,44,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@JumboPlus5GHz,00:7e:95:c9:79:0e,-56,44,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@JumboPlus5GHz,00:7e:95:cb:17:ee,-85,36,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
eduroam,00:7e:95:cb:17:ed,-86,36,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@JumboPlusIoT,00:7e:95:cb:17:ec,-84,36,Y,TH,RSN(PSK/AES/AES),133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:7e:95:cb:17:e8,-87,36,Y,TH,NONE,133.58377896613183,588.8475935828877
.@TrueMoveH,00:7e:95:cb:17:e7,-86,36,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
AISSMARTLogin,00:7e:95:cb:17:e6,-85,36,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
AISSMARTLogin,04:5f:b9:e5:d9:a6,-78,36,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
.@TrueMoveH,04:5f:b9:e5:d9:a7,-78,36,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:7e:95:c9:42:c8,-79,36,Y,TH,NONE,133.58377896613183,588.8475935828877
@JumboPlusIoT,00:7e:95:c9:42:cc,-79,36,Y,TH,RSN(PSK/AES/AES),133.58377896613183,588.8475935828877
AISSMARTLogin,00:b6:70:5f:15:06,-71,36,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
.@TrueMoveH,00:b6:70:5f:15:07,-70,36,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:b6:70:5f:15:08,-70,36,Y,TH,NONE,133.58377896613183,588.8475935828877
@JumboPlusIoT,00:b6:70:5f:15:0c,-71,36,Y,TH,RSN(PSK/AES/AES),133.58377896613183,588.8475935828877
eduroam,00:b6:70:5f:15:0d,-71,36,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@JumboPlus5GHz,00:b6:70:5f:15:0e,-71,36,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:7e:95:cb:77:c7,-67,6,Y,TH,NONE,133.58377896613183,588.8475935828877
CPE-WiFi,70:f3:5a:56:9d:c1,-70,6,Y,TH,NONE,133.58377896613183,588.8475935828877
CPE-Staff,70:f3:5a:56:9d:c0,-69,6,Y,TH,NONE,133.58377896613183,588.8475935828877
EZCast-BFA392A7,d2:c0:bf:a3:92:a7,-67,"9,-1",Y,--,RSN(PSK/AES/AES),133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:7e:95:cb:0d:87,-74,1,Y,TH,NONE,133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:7e:95:c9:79:07,-63,1,Y,TH,NONE,133.58377896613183,588.8475935828877
.@AISSUPERWiFi,00:7e:95:c9:79:06,-62,1,Y,TH,NONE,133.58377896613183,588.8475935828877
.@TRUEWIFI,00:7e:95:c9:79:05,-62,1,Y,TH,NONE,133.58377896613183,588.8475935828877
@JumboPlus,00:7e:95:c9:79:00,-63,1,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@JumboPlus,00:7e:95:c5:06:60,-66,1,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:7e:95:c5:06:67,-67,1,Y,TH,NONE,133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:7e:95:cb:6f:27,-71,1,Y,TH,NONE,133.58377896613183,588.8475935828877
.@AISSUPERWiFi,00:7e:95:c5:06:66,-64,1,Y,TH,NONE,133.58377896613183,588.8475935828877
@JumboPlusIoT,00:7e:95:c5:06:63,-65,1,Y,TH,RSN(PSK/AES/AES),133.58377896613183,588.8475935828877
.@AISSUPERWiFi,00:7e:95:cb:6f:26,-71,1,Y,TH,NONE,133.58377896613183,588.8475935828877
ubiquitous1,00:1a:70:34:72:e1,-69,11,N,--,WPA(PSK/TKIP/TKIP),133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:b6:70:5f:15:07,-67,11,Y,TH,NONE,133.58377896613183,588.8475935828877
.@AISSUPERWiFi,00:b6:70:5f:15:06,-67,11,Y,TH,NONE,133.58377896613183,588.8475935828877
.@TRUEWIFI,00:b6:70:5f:15:05,-68,11,Y,TH,NONE,133.58377896613183,588.8475935828877
@JumboPlusIoT,00:b6:70:5f:15:03,-68,11,Y,TH,RSN(PSK/AES/AES),133.58377896613183,588.8475935828877
@JumboPlus,00:b6:70:5f:15:00,-68,11,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
