Xcoordinate,Ycoordinate,Mean,NewMean
683.5213188637846,1158.0851469687084,[-88. -51. -76. -75. -72. -69. -74. -84. -78. -77. -68.],-73.81818181818181
780.6017118345884,1147.683676293265,"[-75.5  -52.75 -76.   -84.25 -67.25 -80.5  -68.5  -72.25 -71.   -77.
 -68.75]",-72.1590909090909
780.6017118345884,1151.1508331850796,"[-73.8        -54.5        -70.16666667 -75.         -65.66666667
 -68.         -72.33333333 -77.8        -77.         -73.66666667
 -64.5       ]",-70.22121212121212
839.5433789954337,1022.8660281879457,[-66. -40. -64. -59. -56. -63. -61. -87. -69.],-62.77777777777778
853.4120065626913,1029.8003419715747,[-71. -38. -74. -56. -60. -88.],-64.5
853.4120065626913,1040.201812647018,[-71. -40. -64. -60. -57. -59. -61. -88.],-62.5
853.4120065626913,1137.282205617822,"[-75.         -73.2        -48.1        -72.         -69.8
 -62.3        -77.6        -63.125      -60.3        -68.66666667
 -74.         -65.2       ]",-67.44097222222221
856.8791634545058,956.9900472434717,[-60. -36. -64. -58. -59. -63. -61. -88. -65. -69.],-62.3
856.8791634545058,963.9243610271005,[-66. -34. -64. -58. -59. -63. -88. -65.],-62.125
856.8791634545058,967.391517918915,[-61. -35. -64. -60. -58. -66. -56. -88. -59. -70.],-61.7
863.8134772381346,1043.6689695388322,[-60. -41. -64. -59. -54. -88. -61. -65. -68.],-62.22222222222222
943.5580857498663,1140.7493625096363,"[-78.2        -55.4        -72.5        -77.         -57.11111111
 -85.66666667 -60.4        -67.5        -65.         -76.
 -82.         -73.5        -65.3       ]",-70.42905982905982
943.5580857498663,904.9826938662552,[-66. -54. -60. -65. -38. -61. -86. -52. -58.],-60.0
947.0252426416808,915.3841645416985,[-57. -52. -55. -73. -39. -53. -70. -80. -64.],-60.333333333333336
953.9595564253096,1036.7346557552034,[-75. -49. -70. -72. -38. -63. -52. -59. -73. -56.],-60.7
957.4267133171242,898.0483800826264,[-61. -57. -62. -70. -35. -49. -63.],-56.714285714285715
964.361027100753,1036.7346557552034,[-70. -50. -59. -77. -40. -46. -66. -58.],-58.25
967.8281839925675,804.4351440036369,[-59. -46. -71. -57. -56. -88. -86. -74.],-67.125
971.2953408843817,797.5008302200081,[-62. -61. -52. -71. -66. -57. -73. -58. -84. -49. -72.],-64.0909090909091
978.2296546680105,790.5665164363793,[-63. -50. -70. -60. -51. -56. -57. -72.],-59.875
985.1639684516396,783.6322026527503,[-58. -51. -77. -62. -52. -57. -53. -69.],-59.875
985.1639684516396,794.0336733281936,[-65. -62. -51. -68. -59. -52. -74. -77. -50.],-62.0
992.0982822352684,794.0336733281936,[-60. -46. -67. -66. -53. -76.],-61.333333333333336
999.0325960188972,481.9895530648953,[-50. -88. -43. -60. -56. -68. -57. -74. -84.],-64.44444444444444
