SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
@JumboPlusIoT,00:7e:95:c9:79:0c,-66,44,Y,TH,RSN(PSK/AES/AES),240.89215686274508,32.34135472370781
eduroam,00:7e:95:c9:79:0d,-66,44,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@JumboPlus5GHz,00:7e:95:c9:79:0e,-66,44,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@JumboPlus5GHz,04:5f:b9:e5:dd:6e,-78,40,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
eduroam,04:5f:b9:e5:dd:6d,-78,40,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@TOT_Wi-Fi,04:5f:b9:e5:dd:68,-78,40,Y,TH,NONE,240.89215686274508,32.34135472370781
.@TrueMoveH,04:5f:b9:e5:dd:67,-78,40,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
AISSMARTLogin,04:5f:b9:e5:dd:66,-78,40,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
AISSMARTLogin,00:b6:70:59:96:c6,-80,40,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
.@TrueMoveH,00:b6:70:59:96:c7,-80,40,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@TOT_Wi-Fi,00:b6:70:59:96:c8,-80,40,Y,TH,NONE,240.89215686274508,32.34135472370781
@JumboPlusIoT,00:b6:70:59:96:cc,-81,40,Y,TH,RSN(PSK/AES/AES),240.89215686274508,32.34135472370781
eduroam,00:b6:70:59:96:cd,-80,40,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@JumboPlus5GHz,00:b6:70:59:96:ce,-81,40,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
AISSMARTLogin,00:7e:95:cb:17:e6,-81,36,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
.@TrueMoveH,00:7e:95:cb:17:e7,-82,36,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@TOT_Wi-Fi,00:7e:95:cb:17:e8,-81,36,Y,TH,NONE,240.89215686274508,32.34135472370781
@JumboPlusIoT,00:7e:95:cb:17:ec,-81,36,Y,TH,RSN(PSK/AES/AES),240.89215686274508,32.34135472370781
eduroam,00:7e:95:cb:17:ed,-81,36,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@JumboPlus5GHz,00:7e:95:cb:17:ee,-81,36,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@JumboPlusIoT,00:7e:95:c9:7b:63,-60,11,Y,TH,RSN(PSK/AES/AES),240.89215686274508,32.34135472370781
.@AISSUPERWiFi,00:b6:70:59:90:06,-72,11,Y,TH,NONE,240.89215686274508,32.34135472370781
@JumboPlus,00:7e:95:c9:7b:60,-60,11,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
.@TRUEWIFI,00:b6:70:59:90:05,-71,11,Y,TH,NONE,240.89215686274508,32.34135472370781
@TOT_Wi-Fi,00:b6:70:59:90:07,-71,11,Y,TH,NONE,240.89215686274508,32.34135472370781
.@TRUEWIFI,00:b6:70:5f:15:05,-62,11,Y,TH,NONE,240.89215686274508,32.34135472370781
@TOT_Wi-Fi,00:b6:70:5f:15:07,-62,11,Y,TH,NONE,240.89215686274508,32.34135472370781
.@AISSUPERWiFi,00:b6:70:5f:15:06,-62,11,Y,TH,NONE,240.89215686274508,32.34135472370781
@JumboPlusIoT,00:b6:70:5f:15:03,-62,11,Y,TH,RSN(PSK/AES/AES),240.89215686274508,32.34135472370781
@JumboPlus,00:b6:70:5f:15:00,-62,11,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@JumboPlusIoT,00:b6:70:59:95:63,-72,11,Y,TH,RSN(PSK/AES/AES),240.89215686274508,32.34135472370781
EZCast-BFA392A7,d2:c0:bf:a3:92:a7,-70,"9,-1",Y,--,RSN(PSK/AES/AES),240.89215686274508,32.34135472370781
@TOT_Wi-Fi,00:7e:95:c5:04:a7,-79,6,Y,TH,NONE,240.89215686274508,32.34135472370781
@TOT_Wi-Fi,00:7e:95:c7:ec:67,-68,6,Y,TH,NONE,240.89215686274508,32.34135472370781
.@TRUEWIFI,00:b6:70:59:96:c5,-81,6,Y,TH,NONE,240.89215686274508,32.34135472370781
.@AISSUPERWiFi,00:7e:95:c7:ec:66,-68,6,Y,TH,NONE,240.89215686274508,32.34135472370781
.@TRUEWIFI,00:7e:95:c7:ec:65,-69,6,Y,TH,NONE,240.89215686274508,32.34135472370781
@JumboPlusIoT,00:7e:95:c7:ec:63,-68,6,Y,TH,RSN(PSK/AES/AES),240.89215686274508,32.34135472370781
@JumboPlus,00:7e:95:c7:ec:60,-69,6,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@TOT_Wi-Fi,00:7e:95:cb:77:c7,-67,6,Y,TH,NONE,240.89215686274508,32.34135472370781
.@AISSUPERWiFi,00:7e:95:cb:77:c6,-67,6,Y,TH,NONE,240.89215686274508,32.34135472370781
.@TRUEWIFI,00:7e:95:cb:77:c5,-67,6,Y,TH,NONE,240.89215686274508,32.34135472370781
@JumboPlusIoT,00:7e:95:cb:77:c3,-67,6,Y,TH,RSN(PSK/AES/AES),240.89215686274508,32.34135472370781
@JumboPlus,00:7e:95:cb:77:c0,-67,6,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
QuadrupedRobot,d4:5d:64:91:a2:38,-70,5,Y,US,RSN(PSK/AES/AES),240.89215686274508,32.34135472370781
.@AISSUPERWiFi,04:5f:b9:e5:a8:e6,-68,1,Y,TH,NONE,240.89215686274508,32.34135472370781
@TOT_Wi-Fi,00:7e:95:c9:79:07,-66,1,Y,TH,NONE,240.89215686274508,32.34135472370781
.@AISSUPERWiFi,00:7e:95:c9:79:06,-66,1,Y,TH,NONE,240.89215686274508,32.34135472370781
@TOT_Wi-Fi,00:7e:95:c9:d3:27,-61,1,Y,TH,NONE,240.89215686274508,32.34135472370781
Eng_Wi-Fi_Zone,64:d8:14:ef:e1:11,-61,1,Y,TH,"RSN(PSK/TKIP,AES/TKIP)",240.89215686274508,32.34135472370781
.@AISSUPERWiFi,00:7e:95:c9:d3:26,-60,1,Y,TH,NONE,240.89215686274508,32.34135472370781
.@TRUEWIFI,00:7e:95:c9:79:05,-65,1,Y,TH,NONE,240.89215686274508,32.34135472370781
@JumboPlusIoT,00:7e:95:c9:79:03,-64,1,Y,TH,RSN(PSK/AES/AES),240.89215686274508,32.34135472370781
.@TRUEWIFI,00:7e:95:c9:d3:25,-60,1,Y,TH,NONE,240.89215686274508,32.34135472370781
@JumboPlusIoT,00:7e:95:c9:d3:23,-61,1,Y,TH,RSN(PSK/AES/AES),240.89215686274508,32.34135472370781
@JumboPlus,00:7e:95:c9:d3:20,-60,1,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
.@TRUEWIFI,04:5f:b9:e5:a8:e5,-68,1,Y,TH,NONE,240.89215686274508,32.34135472370781
SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
AISSMARTLogin,00:b6:70:5e:8f:66,-84,100,Y,TH,RSN(802.1x/AES/AES),58.717468805704016,32.34135472370781
AISSMARTLogin,00:7e:95:c5:2f:86,-74,100,Y,TH,RSN(802.1x/AES/AES),58.717468805704016,32.34135472370781
.@TrueMoveH,00:7e:95:c9:76:a7,-76,100,Y,TH,RSN(802.1x/AES/AES),58.717468805704016,32.34135472370781
